name,icao,iso2a,iso3n,iso_region
Albania,LA,AL,8,
Armenia,UD,AM,51,
Austria,LO,AT,40,
Belgium,EB,BE,56,
Bosnia and Herzegovina,LQ,BA,70,
Bulgaria,LB,BG,100,
Croatia,LD,HR,191,
Cyprus,LC,CY,196,
Czech Republic,LK,CZ,203,
Denmark,EK,DK,208,
Estonia,EE,EE,233,
Finland,EF,FI,246,
France,LF,FR,250,
Georgia,UG,GE,268,
Germany,ED,DE,276,
Germany,ET,DE,276,
Greece,LG,GR,300,
Hungary,LH,HU,348,
Ireland,EI,IE,372,
Israel,LL,IL,376,
Italy,LI,IT,380,
Latvia,EV,LV,428,
Lithuania,EY,LT,440,
Luxembourg,EL,LU,442,
Malta,LM,MT,470,
Moldova,LU,MD,498,
Monaco,LN,MC,492,
Montenegro,LY,ME,499,
Morocco,GM,MA,504,
Netherlands,EH,NL,528,
Norway,EN,NO,578,
Poland,EP,PL,616,
Portugal,LP,PT,620,
Romania,LR,RO,642,
Serbia,LY,RS,688,
Slovakia,LZ,SK,703,
Slovenia,LJ,SI,705,
Spain,LE,ES,724,
Sweden,ES,SE,752,
Switzerland,LS,CH,756,
Canary Islands,GC,ES,724,ES-CN
North Macedonia,LW,MK,807,
TÃ¼rkiye,LT,TR,792,
Ukraine,UK,UA,804,
United Kingdom of Great Britain and Northern Ireland,EG,GB,826,
